child_category_uri,parent_category_uri
http://data.europa.eu/esco/skill/4781b6b1-07bc-44be-8c2d-de0fa5db4250,http://data.europa.eu/esco/skill/ac88053e-c9b5-43cf-ace1-f506bcfdc8cb
http://data.europa.eu/esco/isced-f/0321,http://data.europa.eu/esco/isced-f/032
http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,http://data.europa.eu/esco/skill/0101f8a4-4243-4e67-813b-3e2a6274f7e2
http://data.europa.eu/esco/isced-f/0414,http://data.europa.eu/esco/isced-f/041
http://data.europa.eu/esco/skill/cbe1b24e-00f3-4b17-94e9-1fcd34a11c3e,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86
http://data.europa.eu/esco/isced-f/0719,http://data.europa.eu/esco/isced-f/071
http://data.europa.eu/esco/skill/9c17f73f-345c-4c55-8b59-47b445941b7b,http://data.europa.eu/esco/skill/323b3684-86ec-40fa-81b4-bc52694ef168
http://data.europa.eu/esco/skill/b32ef8a5-e3f7-40ef-8b40-913c003e1f4e,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc
http://data.europa.eu/esco/skill/103af23e-d56c-47ab-b991-55c94dcdef50,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038
http://data.europa.eu/esco/isced-f/0619,http://data.europa.eu/esco/isced-f/061
http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,http://data.europa.eu/esco/skill/c5b71c57-6f78-4c54-b332-ec75848f1095
http://data.europa.eu/esco/skill/a6c3bda0-c759-495e-b2c5-062b3abe2097,http://data.europa.eu/esco/skill/be7443ff-0747-43b8-8720-8e87fd34e692
http://data.europa.eu/esco/skill/1072f444-8a7d-41c1-aa6f-d536f20d94bf,http://data.europa.eu/esco/skill/2f661409-3e56-46ab-95d7-6ec7786fc1c0
http://data.europa.eu/esco/isced-f/0223,http://data.europa.eu/esco/isced-f/022
http://data.europa.eu/esco/isced-f/0322,http://data.europa.eu/esco/isced-f/032
http://data.europa.eu/esco/isced-f/0412,http://data.europa.eu/esco/isced-f/041
http://data.europa.eu/esco/isced-f/0542,http://data.europa.eu/esco/isced-f/054
http://data.europa.eu/esco/skill/92fc9726-5b5e-439e-a33c-06a8c63fbb9a,http://data.europa.eu/esco/skill/9827c329-3492-4e8d-852c-da0894228ff6
http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,http://data.europa.eu/esco/skill/3753e796-121e-46a3-9c27-dee31ce92c80
http://data.europa.eu/esco/isced-f/0313,http://data.europa.eu/esco/isced-f/031
http://data.europa.eu/esco/skill/d700aa7a-0ed8-4967-a32c-4cb6075ab3b9,http://data.europa.eu/esco/skill/c5b71c57-6f78-4c54-b332-ec75848f1095
http://data.europa.eu/esco/skill/c5ff50d7-97d3-401e-90ac-e5ae756a52de,http://data.europa.eu/esco/skill/1e95cef2-9c35-4f9f-b6a9-cb458c3e5379
http://data.europa.eu/esco/skill/07f47dea-587c-40c0-990a-6c092cc3e6a4,http://data.europa.eu/esco/skill/6889a21c-837b-49a2-be61-bb6010ab63f4
http://data.europa.eu/esco/skill/e4da156d-a6c4-4b29-935b-eff9c9553cf1,http://data.europa.eu/esco/skill/548c3fbe-9eb1-4035-bc54-027fd5bc5315
http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,http://data.europa.eu/esco/skill/28d2ab6c-38a2-476e-85fe-7982fd242943
http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524
http://data.europa.eu/esco/skill/57216e88-a0d3-4b8c-af6c-b8232b4f48c2,http://data.europa.eu/esco/skill/d23b21ca-2ef5-4b5e-b37e-a5311dc2e292
http://data.europa.eu/esco/skill/24a39c1b-b8cc-4210-8b74-b388a90e8f59,http://data.europa.eu/esco/skill/18da3b88-1cd5-4ef3-83d6-664e52afdaba
http://data.europa.eu/esco/isced-f/0111,http://data.europa.eu/esco/isced-f/011
http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,http://data.europa.eu/esco/skill/548c3fbe-9eb1-4035-bc54-027fd5bc5315
http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,http://data.europa.eu/esco/skill/8bbdf1f1-e943-45fc-af2f-1446cbd88245
http://data.europa.eu/esco/skill/f5f15f9c-6334-4728-8dc5-3a20a00dfc37,http://data.europa.eu/esco/skill/e173eaf8-c99b-405a-b0ac-0e02ce3c268d
http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,http://data.europa.eu/esco/skill/548c3fbe-9eb1-4035-bc54-027fd5bc5315
http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,http://data.europa.eu/esco/skill/323b3684-86ec-40fa-81b4-bc52694ef168
http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc
http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,http://data.europa.eu/esco/skill/0a295163-3e17-47ad-99ac-2b507ce30adb
http://data.europa.eu/esco/skill/ab877a24-335d-4676-b366-c5c06651481a,http://data.europa.eu/esco/skill/85b379e7-e0b7-48b8-baa7-631f50a7cdd5
http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038
http://data.europa.eu/esco/skill/e2bdf081-333a-414f-b8ac-93c76290f167,http://data.europa.eu/esco/skill/5770f630-9b25-49f3-9d37-e93ec1799749
http://data.europa.eu/esco/skill/7e0b93e0-0de7-4607-b07f-27a6828d3ff0,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86
http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,http://data.europa.eu/esco/skill/5770f630-9b25-49f3-9d37-e93ec1799749
http://data.europa.eu/esco/skill/caede8f1-6658-4d78-9eb4-2ad2c7ebf09b,http://data.europa.eu/esco/skill/5770f630-9b25-49f3-9d37-e93ec1799749
http://data.europa.eu/esco/skill/afe3d82e-4a40-4aa4-a4e9-a6097c4a391e,http://data.europa.eu/esco/skill/2f661409-3e56-46ab-95d7-6ec7786fc1c0
